Healthy	Unhealthy	Background_Blue	Background_Dark
96,149,71	196,172,134	75,114,207	18,31,48
92,146,68	196,172,134	75,116,206	30,45,64
76,147,53	191,183,85	45,87,199	7,12,16
76,147,55	194,185,94	43,83,196	9,14,18
72,143,49	191,184,96	43,83,196	10,15,19
78,140,54	203,189,154	98,130,207	14,15,20
80,142,56	200,187,152	93,126,203	18,18,20
80,142,56	203,190,155	77,110,191	21,21,23
75,139,43	162,140,67	63,105,205	11,9,10
81,142,49	167,143,73	66,108,208	9,9,9
84,143,51	168,145,75	61,103,203	8,8,8
74,138,52	175,148,77	92,130,213	6,10,13
72,136,50	177,150,79	92,133,215	8,9,11
74,136,50	181,155,81	92,133,215	9,9,11
75,118,49	174,171,66	85,125,221	8,12,15
72,115,46	176,173,70	93,133,228	8,12,15
72,114,48	178,174,75	95,134,229	9,13,16
93,146,64	197,171,134	65,101,187	12,12,14
92,145,67	195,167,128	69,105,191	14,14,16
89,143,65	198,169,129	72,106,196	16,14,15
76,147,53	203,175,110	84,123,216	5,5,7
75,146,54	205,177,114	79,120,212	5,6,8
74,145,51	205,179,118	80,121,211	4,5,7
80,142,56	202,186,152	46,88,198	7,7,5
80,142,56	203,187,153	41,83,193	7,7,7
79,141,55	204,189,156	44,82,191	5,5,5
75,139,43	168,144,72	83,114,194	5,6,10
80,141,48	165,141,71	82,114,197	4,5,9
80,139,47	163,139,69	75,109,196	3,7,10
75,139,53	153,135,99	58,103,204	6,7,9
74,138,52	153,135,99	59,104,207	5,9,10
72,134,48	156,138,102	58,101,206	5,9,10
55,102,30	168,160,51	83,124,212	7,8,10
56,102,30	169,162,56	82,126,213	8,8,8
60,105,36	171,162,57	82,123,211	8,8,8
75,120,61	177,172,70	86,125,218	8,12,15
72,120,62	180,175,75	89,130,222	10,11,15
70,120,61	181,175,79	88,129,221	10,11,15
27,54,11	197,172,132	70,106,190	12,12,14
27,52,12	196,168,128	68,104,190	13,13,15
25,50,10	198,169,129	79,142,221	14,12,13
27,54,11	209,181,118	77,143,221	6,6,8
27,52,12	211,182,122	70,138,219	5,6,8
25,50,10	213,184,126	71,153,213	4,5,7
91,154,65	204,188,154	70,152,212	7,7,5
90,150,62	202,187,154	67,152,209	8,8,8
93,153,63	204,189,156	61,146,211	7,7,7
69,136,41	169,145,71	62,145,211	4,5,9
63,133,35	165,141,67	67,147,210	5,6,10
60,130,31	161,137,65	39,94,151	3,7,10
51,98,26	150,132,96	39,91,149	7,8,10
52,98,26	151,133,95	39,91,148	5,9,10
58,103,34	155,137,101	53,123,192	5,9,10
73,119,57	165,158,51	52,125,193	7,8,10
71,119,59	167,160,54	52,125,194	8,8,8
70,118,58	170,163,57	52,114,189	8,8,8
28,55,12	180,174,76	47,108,188	10,11,15
24,51,8	183,177,81	44,105,186	10,11,15
24,49,9	184,177,86	78,155,225	10,11,15
28,55,12	198,170,131	77,155,227	12,12,14
24,51,8	195,166,126	66,145,220	13,11,12
24,49,9	196,164,125	76,135,211	16,12,13
96,155,71	215,186,126	72,134,209	7,7,7
100,159,75	217,188,130	71,137,215	5,6,8
102,160,76	220,191,135	78,156,218	4,6,5
65,132,37	206,190,156	81,160,219	7,7,7
63,130,35	204,189,156	76,156,215	8,8,8
60,130,32	203,188,155	58,143,208	8,8,8
53,100,28	168,144,70	61,144,210	6,5,10
52,98,26	164,140,66	65,144,211	6,7,11
54,99,30	161,137,65	38,90,148	5,6,10
72,118,56	149,131,95	38,90,148	8,9,11
73,118,59	151,133,95	40,92,149	6,10,13
71,119,59	155,137,101	56,125,194	4,10,10
27,54,11	164,157,50	57,127,196	8,8,10
24,51,8	166,159,55	55,128,196	8,8,10
23,48,8	167,160,56	55,114,190	9,7,10
27,54,11	134,116,18	49,110,190	11,9,12
24,51,8	137,114,18	46,107,188	14,9,13
23,48,8	136,113,17	76,150,221	16,10,14
96,155,75	150,131,36	74,151,223	8,7,12
100,157,78	147,131,36	65,143,218	9,8,13
105,162,83	148,129,34	80,138,212	9,8,13
63,130,35	152,114,67	80,140,212	12,12,14
64,131,36	155,117,72	80,144,218	12,12,14
61,131,33	154,116,71	79,158,217	10,10,12
67,131,47	192,182,84	83,162,219	6,7,9
67,133,46	193,183,85	86,163,219	3,7,10
67,133,46	195,185,88	61,144,212	3,7,10
59,112,40	180,192,66	60,143,211	9,10,12
56,108,33	178,189,67	58,141,209	8,10,9
57,109,34	180,192,68	34,84,143	8,10,9
29,66,15	196,184,158	38,89,146	18,17,15
27,65,14	194,183,155	43,94,149	15,15,13
26,65,12	188,177,149	62,131,196	14,14,12
69,121,49	160,147,55	61,132,196	13,21,24
68,120,45	160,150,55	57,131,194	13,18,24
67,119,44	160,150,53	53,113,186	12,16,25
58,127,11	136,116,19	53,112,188	10,8,11
56,124,11	137,115,16	50,109,187	13,8,12
55,125,13	134,112,13	74,147,216	15,9,13
87,145,61	150,131,37	73,147,218	10,9,14
87,145,60	150,131,36	63,139,215	11,10,15
87,145,58	149,130,35	58,94,152	9,8,13
70,133,52	153,117,69	59,95,153	10,10,12
70,134,48	154,117,72	54,95,151	10,10,12
69,133,47	152,115,70	51,93,153	9,9,11
59,112,40	192,182,85	44,88,149	6,7,9
59,111,36	191,181,83	38,84,144	3,7,10
59,111,36	194,184,87	45,116,198	3,7,10
29,66,14	181,192,70	47,118,200	7,8,10
27,66,13	180,191,71	45,117,201	7,9,8
25,64,11	182,193,71	64,146,219	8,10,9
69,122,50	194,183,155	66,146,217	17,16,14
67,119,45	192,181,151	62,142,213	15,15,13
68,118,45	188,177,147	52,118,194	15,15,13
58,128,14	160,150,53	48,115,196	11,19,22
55,125,9	158,148,51	47,113,197	12,17,23
53,126,11	160,150,55	51,127,203	10,14,25
87,146,62	135,115,18	58,132,207	8,8,10
87,145,60	137,115,16	60,134,207	10,8,11
86,146,60	136,114,15	63,104,158	15,9,13
71,133,56	152,131,38	62,104,162	10,9,14
71,134,53	151,132,37	62,107,164	10,11,16
70,133,52	153,134,39	59,94,152	9,10,15
59,112,40	156,120,72	59,95,153	10,9,14
61,113,38	154,117,72	55,94,151	10,9,14
61,113,38	149,112,67	49,91,151	8,9,13
30,67,15	191,181,84	41,85,146	6,7,9
28,67,14	191,181,83	37,83,143	6,7,9
27,66,13	192,182,85	48,118,203	5,6,10
72,125,55	184,195,77	47,117,203	7,8,10
69,121,47	183,193,78	44,115,203	7,9,8
68,118,45	184,195,77	60,143,219	8,10,9
59,129,15	193,179,152	59,141,215	18,17,15
58,128,12	194,179,150	61,143,217	17,16,14
53,126,11	191,176,147	55,121,197	17,16,14
95,154,70	158,148,53	47,114,195	10,18,21
93,151,66	156,146,49	47,113,197	11,16,22
88,148,62	158,148,53	55,131,207	12,16,28
82,139,45	157,146,124	60,134,209	9,9,11
81,138,43	152,141,119	61,135,208	9,10,12
82,139,42	149,138,116	54,94,153	6,10,13
76,141,47	195,171,135	58,100,160	25,16,19
75,142,49	195,169,136	56,101,160	25,16,19
77,143,53	193,167,132	57,94,149	23,14,17
65,118,40	217,199,159	58,95,150	13,17,20
61,116,35	216,196,159	55,94,151	12,17,20
62,117,36	216,196,159	46,91,148	11,16,19
80,135,51	203,190,94	38,84,143	7,8,10
79,134,51	205,193,95	38,87,145	8,9,11
74,132,48	208,194,97	49,119,204	8,8,10
87,152,52	169,164,82	53,120,207	10,10,12
83,149,49	172,167,85	44,115,203	10,10,10
81,149,50	172,167,85	59,142,218	9,9,9
79,146,53	174,163,74	58,144,219	7,7,9
79,146,53	176,164,78	59,143,216	5,6,8
82,147,53	177,167,82	56,122,200	2,6,5
72,136,42	113,85,35	51,118,199	13,17,20
67,131,37	113,87,36	47,113,197	13,17,20
61,125,29	113,87,36	59,135,211	11,16,19
81,141,45	159,151,130	60,136,211	10,9,7
81,141,45	155,147,126	60,137,209	10,10,8
84,141,46	148,140,119	51,91,150	10,10,10
77,143,46	194,168,133	52,93,155	9,9,11
76,141,47	194,168,133	55,97,157	7,8,10
78,145,52	194,168,133	68,137,206	8,9,13
65,119,41	217,198,156	66,134,205	24,15,18
63,118,37	217,198,158	65,132,202	24,15,18
61,116,33	215,196,154	67,141,214	23,14,17
78,136,49	203,189,90	71,146,214	12,16,19
76,134,49	205,193,95	70,145,212	11,16,19
71,129,44	208,194,97	95,155,207	10,15,18
88,153,53	167,162,80	77,134,189	7,8,10
84,152,51	170,165,83	59,118,176	7,8,10
80,148,47	170,165,84	69,151,211	8,8,10
77,143,46	176,163,71	69,151,211	10,10,12
75,142,47	177,163,74	69,150,213	11,11,11
78,145,50	177,165,79	51,141,203	11,11,11
74,135,42	113,88,34	49,139,201	7,7,9
67,131,37	114,89,35	48,137,197	6,7,9
62,126,32	115,90,36	66,152,209	2,6,5
80,140,44	159,151,130	67,153,210	14,18,21
80,140,44	153,145,124	70,152,210	14,18,21
82,139,44	147,139,120	53,140,209	12,17,20
78,144,47	193,167,134	52,141,209	11,9,10
77,142,48	193,167,132	51,143,210	11,11,9
78,145,52	194,168,133	73,142,211	13,11,12
68,121,43	219,200,158	70,138,209	9,9,11
65,120,39	218,196,155	70,134,205	7,7,9
62,117,34	216,194,153	64,138,213	7,8,10
76,134,47	203,189,90	65,139,210	25,16,17
74,132,47	204,192,94	70,145,213	24,15,18
71,129,44	207,193,96	97,153,204	23,14,17
88,153,53	167,162,81	75,132,187	10,14,17
85,153,52	168,163,82	59,118,176	10,14,17
80,148,47	169,164,83	68,150,210	9,13,16
76,142,45	176,163,71	71,151,212	6,7,9
74,141,46	177,163,74	74,154,217	6,7,9
75,142,47	176,165,76	50,140,202	7,8,10
74,133,41	114,89,35	48,138,200	12,10,11
69,130,37	115,90,36	47,136,196	12,10,11
65,126,33	117,92,38	61,147,206	13,12,10
92,158,52	99,94,72	62,148,207	7,9,8
100,163,59	100,92,71	63,147,209	4,8,7
112,174,73	99,88,68	55,142,211	2,6,5
87,157,61	111,108,93	54,143,211	15,19,22
87,154,57	98,94,82	54,143,211	15,19,22
88,154,57	91,85,73	75,144,213	13,19,19
85,151,54	202,183,125	71,139,210	12,10,11
93,158,68	203,182,129	70,137,208	13,11,12
99,162,73	207,186,141	62,134,210	14,12,15
92,151,67	159,142,114	62,134,208	4,8,11
95,154,72	164,148,115	69,141,213	4,8,11
93,155,72	168,149,116	88,144,193	4,8,11
67,134,39	205,191,152	72,128,179	10,10,12
68,135,40	203,190,146	62,121,177	11,9,10
72,137,45	201,187,142	69,151,211	11,9,10
84,143,49	106,97,88	71,151,210	10,10,10
85,145,49	97,92,86	72,151,210	10,10,10
88,148,50	89,84,80	47,137,197	10,10,10
68,120,46	140,132,85	44,134,194	7,10,15
73,125,51	136,123,78	44,134,194	6,9,14
79,133,58	133,120,76	57,146,204	5,9,12
98,161,56	96,96,68	57,146,204	11,11,13
102,163,60	97,91,65	58,144,205	12,12,12
104,166,67	98,87,65	58,145,212	14,14,14
90,157,64	109,110,96	55,144,210	7,8,12
88,153,59	102,98,87	56,144,208	5,9,12
87,152,58	94,88,76	68,101,194	5,9,12
85,151,54	204,185,129	80,120,215	4,7,12
88,153,63	203,185,135	78,118,213	5,9,12
96,159,70	208,191,147	77,118,210	5,9,12
93,152,70	167,150,122	46,88,198	4,8,11
98,157,77	171,155,122	40,82,192	4,8,11
96,155,75	171,152,119	42,78,188	5,9,12
69,136,39	204,192,152	100,132,217	10,10,12
70,136,39	204,191,149	84,118,205	11,9,10
69,133,37	200,187,143	76,113,204	11,9,10
85,145,49	106,96,87	57,101,206	10,10,10
84,144,46	96,89,81	55,99,206	9,9,9
85,145,45	90,81,74	55,97,205	9,9,9
77,129,54	135,131,86	80,120,215	7,10,15
86,138,64	132,121,75	73,116,208	7,10,15
87,140,68	128,117,72	70,115,206	6,10,13
100,163,59	95,96,65	84,123,216	9,9,11
102,163,60	94,88,62	83,124,216	11,11,13
104,166,67	95,85,60	81,122,214	14,14,16
88,155,62	100,101,87	55,75,144	7,8,12
88,153,59	99,95,84	64,83,151	5,9,12
87,152,58	94,88,76	67,86,155	5,9,12
84,150,53	205,185,134	44,91,207	5,8,13
90,154,67	206,188,142	44,91,207	6,10,13
92,154,68	211,193,153	43,93,206	5,9,12
90,149,67	178,157,130	54,95,201	4,7,12
95,154,74	172,151,120	53,94,202	3,8,12
93,152,72	171,148,116	55,96,204	4,8,11
71,138,41	203,191,153	67,113,209	10,10,12
70,136,39	203,190,148	60,109,204	10,11,13
67,131,35	202,189,145	56,101,202	10,12,11
87,147,51	115,100,93	61,97,181	9,9,9
85,145,47	105,94,88	51,87,171	8,8,8
84,144,44	94,83,77	51,85,172	8,7,5
85,137,62	132,127,87	64,99,193	6,11,17
95,147,75	131,124,78	64,97,194	7,10,15
90,143,71	127,118,75	66,101,193	6,10,13
58,103,38	213,208,170	52,73,140	11,11,13
52,97,30	210,202,163	58,77,145	10,11,13
47,92,27	211,203,164	61,81,152	8,12,13
67,132,38	219,203,143	42,89,205	4,8,11
68,133,43	224,205,146	41,88,204	5,9,12
69,132,43	227,208,150	41,91,204	5,9,12
80,139,73	174,166,93	54,97,202	5,9,12
81,141,79	178,170,107	51,93,201	6,10,13
85,145,85	185,173,115	48,88,199	6,7,11
79,136,67	120,76,65	63,112,207	6,5,10
81,134,66	111,67,56	57,107,204	5,6,10
78,131,63	109,65,56	54,102,204	4,5,9
87,140,62	183,176,104	63,99,183	17,13,10
86,140,64	186,179,107	51,87,173	14,13,8
87,141,65	186,179,107	51,85,174	14,13,8
66,138,39	145,127,77	70,105,197	13,11,12
68,139,45	157,142,101	65,98,195	12,10,11
69,137,50	172,158,119	65,100,194	11,9,10
71,139,28	198,187,105	51,72,139	9,7,8
72,142,30	199,186,107	54,73,141	9,9,9
71,141,29	199,186,107	57,77,146	10,10,8
76,132,57	209,204,166	40,87,205	7,7,9
78,134,59	212,204,165	39,86,202	8,8,10
79,135,60	210,203,161	38,88,203	8,8,8
58,103,38	219,205,144	57,99,207	7,6,11
52,97,32	222,206,147	52,94,204	7,7,7
49,91,27	222,205,149	50,90,201	8,8,8
66,133,38	175,168,96	59,107,205	22,24,23
68,135,42	180,170,108	55,105,204	19,21,20
67,134,41	186,174,116	54,102,204	20,22,21
80,137,69	122,80,64	60,96,180	5,4,9
76,135,71	112,70,56	53,89,175	4,5,9
85,144,80	108,69,54	51,85,174	4,5,9
80,137,69	188,181,109	73,108,200	14,10,7
90,142,76	190,183,115	67,100,197	12,11,6
94,146,80	191,184,112	63,97,194	14,13,8
87,140,60	142,129,77	41,75,164	13,11,12
87,140,60	155,142,100	44,78,165	12,10,11
87,141,63	169,157,117	52,84,169	12,10,11
67,139,37	196,184,102	70,114,209	10,8,9
67,138,42	195,182,103	71,115,212	9,9,9
69,138,49	195,182,104	67,109,209	10,10,8
76,144,33	207,202,164	63,96,191	8,8,10
75,143,32	211,203,164	57,91,188	9,9,11
78,146,35	210,203,161	53,87,184	8,8,8
74,132,56	217,202,145	84,121,201	7,6,11
77,133,58	218,201,145	101,136,217	7,7,7
77,133,58	219,202,148	91,128,209	8,8,8
56,101,36	174,166,94	73,117,216	15,17,16
51,96,31	178,167,105	81,124,219	14,16,15
50,92,28	182,167,110	79,122,214	16,18,17
71,138,43	123,84,67	68,111,213	4,5,9
70,137,44	114,75,60	65,111,209	4,5,10
69,136,43	110,73,55	67,113,211	5,6,10
85,142,74	194,187,115	44,78,167	13,9,6
80,139,75	196,188,123	49,81,168	12,11,6
84,143,79	194,187,115	52,84,169	14,13,9
84,136,72	150,137,85	68,112,209	13,11,14
96,146,83	158,145,103	69,113,210	13,11,14
111,161,98	169,157,117	68,110,210	13,11,12
88,141,61	196,184,102	69,102,195	10,8,9
89,142,64	194,181,102	59,95,189	8,8,10
86,140,64	193,180,101	56,92,186	9,9,9
66,138,36	149,142,90	109,146,226	7,8,12
66,138,38	154,146,100	118,153,234	8,8,10
69,138,45	154,143,97	97,133,217	7,8,10
81,149,38	193,179,90	72,118,216	7,5,10
81,148,42	191,178,82	79,125,219	6,6,8
84,151,45	188,178,81	84,131,221	7,7,9
73,131,55	138,109,101	65,108,210	10,14,13
76,132,57	144,115,107	66,109,211	9,13,12
79,135,60	147,120,109	71,115,210	14,16,15
84,148,51	107,98,81	48,79,169	11,11,13
83,149,51	107,91,75	52,84,169	13,11,14
82,148,48	105,88,70	62,93,175	11,11,13
100,160,60	131,108,94	67,111,210	8,8,8
100,162,63	134,111,103	69,113,208	8,8,6
99,164,64	135,112,104	69,111,209	9,9,7
73,140,45	125,93,82	72,105,198	24,23,21
75,142,49	127,97,86	61,98,189	24,23,21
76,143,50	129,99,89	55,92,183	24,20,19
76,138,53	148,147,101	132,169,247	9,9,11
70,136,46	144,143,95	118,154,232	9,9,9
67,136,43	139,141,91	101,137,223	9,9,9
66,105,50	152,146,96	69,114,215	13,13,13
64,103,46	157,149,102	74,120,216	12,12,12
65,104,47	154,143,97	81,128,220	12,12,12
47,109,23	193,180,86	65,108,212	14,13,9
48,108,20	193,180,84	69,112,214	14,14,12
44,104,16	195,182,86	75,119,214	13,13,13
81,147,47	142,117,110	86,130,225	10,10,12
81,147,47	142,117,110	81,126,219	10,10,12
82,148,48	148,126,115	87,130,222	10,10,12
100,160,62	104,99,79	73,118,211	12,12,14
98,160,61	105,92,73	76,119,214	14,12,15
95,160,60	105,90,71	81,121,219	12,12,14
72,139,44	136,110,97	61,98,204	8,8,8
73,140,45	138,114,102	57,93,203	8,8,6
76,143,48	132,108,96	54,87,200	9,9,7
74,138,51	127,95,84	73,112,207	24,23,21
71,137,47	128,98,87	72,113,203	24,23,21
70,139,46	128,98,88	70,111,203	23,19,18
67,106,51	150,149,105	80,121,211	8,8,10
66,105,48	144,143,97	80,121,211	9,9,9
68,107,50	136,138,89	80,121,211	9,9,9
48,110,24	154,148,98	65,106,198	13,13,13
48,108,22	158,147,101	60,100,195	13,13,13
44,102,17	153,142,96	59,102,197	13,13,13
80,146,46	193,178,85	59,104,195	12,11,7
80,146,46	196,181,88	58,105,193	12,12,10
82,148,48	197,184,92	58,105,197	12,12,12
102,162,64	149,124,119	76,125,218	10,10,12
98,158,60	148,123,116	82,129,221	10,10,12
95,160,60	150,128,117	92,138,224	9,9,11
73,140,45	103,98,78	77,121,210	14,14,14
78,145,50	104,93,73	77,118,208	16,14,15
79,146,51	103,90,71	78,117,210	16,14,15
75,139,52	136,110,95	61,99,206	7,9,8
74,140,50	141,115,100	53,90,197	8,8,8
73,142,49	134,108,95	49,85,197	9,9,9
70,109,54	124,96,85	73,112,203	22,22,22
66,105,48	127,100,89	74,114,202	21,21,21
68,107,50	127,100,89	73,112,205	17,17,17
51,110,26	143,145,98	79,119,214	8,8,8
48,106,21	141,143,94	80,120,215	9,9,9
43,101,16	137,141,90	77,117,213	9,9,9
83,147,60	117,115,76	63,102,197	16,16,16
77,142,52	117,119,80	58,98,194	16,16,16
76,141,49	119,123,90	57,99,197	15,15,15
87,126,59	107,114,60	60,104,191	11,11,9
83,124,56	105,112,61	59,107,192	11,11,9
83,124,58	104,110,64	59,106,194	11,11,11
84,146,49	206,199,129	75,124,217	11,9,12
95,154,60	203,196,128	81,128,220	11,9,10
104,163,73	202,194,129	88,134,222	10,10,10
70,127,48	137,110,81	88,130,212	11,13,12
69,126,47	132,106,73	83,124,206	9,13,12
66,123,44	134,108,71	82,122,207	5,11,9
76,137,57	105,95,85	54,92,199	9,10,12
77,139,56	108,100,89	47,83,193	5,9,10
75,139,53	114,105,96	47,83,195	5,9,8
51,109,35	89,78,74	75,112,200	15,13,14
57,112,44	82,71,65	79,117,202	16,14,15
60,116,45	78,65,57	71,108,199	15,14,12
78,135,54	133,111,98	76,119,213	10,10,10
80,134,56	132,110,97	76,119,214	8,10,9
78,132,54	129,110,96	76,119,214	5,9,8
84,148,61	120,118,79	62,101,196	6,10,11
79,144,52	119,121,82	57,97,193	9,10,12
77,142,50	117,121,88	56,98,196	8,8,10
90,129,64	106,113,59	72,116,203	7,11,14
86,127,61	104,111,60	67,111,198	6,11,14
90,130,67	102,108,62	70,114,203	5,10,13
85,147,46	206,198,126	77,147,206	10,12,11
89,151,54	204,197,127	73,143,202	8,12,11
94,153,59	204,197,129	70,140,200	4,10,8
68,125,44	135,108,79	38,93,147	10,11,13
68,125,46	133,107,74	40,97,150	7,11,12
69,126,47	133,107,70	38,95,148	5,9,8
74,136,53	108,98,88	67,158,215	16,14,15
73,137,51	107,99,88	66,157,214	16,14,15
77,141,55	108,99,90	66,155,213	17,16,14
47,105,31	81,70,66	95,164,223	9,9,9
52,108,37	81,70,64	88,158,220	8,10,9
58,114,43	80,67,59	78,149,215	6,10,9
82,139,60	127,102,95	72,132,202	10,11,13
79,133,55	128,103,96	75,138,207	9,10,12
78,135,56	132,107,100	76,139,210	9,9,11
83,147,60	121,119,80	67,139,215	6,10,13
79,144,52	117,119,82	66,140,215	6,11,14
77,142,50	112,115,84	66,142,218	6,11,14
85,124,61	105,116,60	48,141,210	12,14,13
90,130,67	102,112,59	47,138,209	8,12,11
100,140,78	100,108,57	45,133,205	3,9,5
83,146,41	204,196,121	71,144,213	13,13,13
83,145,44	205,197,124	70,147,217	10,12,11
86,146,50	205,198,128	58,138,211	6,10,9
68,125,44	130,103,76	70,144,205	23,19,18
69,126,47	129,102,72	70,144,205	22,18,17
72,129,50	131,105,70	66,142,204	22,21,19
80,142,59	111,101,89	41,96,150	9,9,9
80,144,58	107,97,88	42,99,152	8,10,9
79,143,57	111,101,92	40,97,152	8,10,9
48,106,32	79,70,65	63,153,213	11,11,11
51,107,36	82,73,66	65,155,215	10,10,10
58,114,43	78,69,60	67,156,214	9,9,9
85,142,63	123,95,91	94,160,220	5,11,11
83,137,59	127,100,93	90,158,219	6,10,13
81,138,59	129,104,97	81,152,216	5,10,13
60,119,35	138,119,79	71,135,207	48,54,44
59,117,33	136,121,80	70,137,208	43,49,39
56,114,30	136,124,84	71,138,208	37,43,31
62,121,27	151,126,96	66,138,214	9,10,14
60,122,25	141,117,83	67,141,216	10,9,14
60,122,21	133,107,72	66,142,218	10,9,14
61,125,38	84,83,65	51,139,210	3,8,11
63,127,41	87,84,67	49,135,208	3,7,10
63,127,40	86,83,68	43,129,202	4,8,11
49,102,20	110,101,96	85,154,223	22,22,20
49,103,19	101,91,89	89,162,231	23,23,21
51,106,23	94,83,81	72,149,221	23,23,23
70,131,51	109,97,73	63,141,205	11,11,13
73,132,52	112,100,74	61,139,203	11,11,11
